
snap(54,-4,15)
sky(86,118,219)
fog(105,5,50)
clouds(255,255,255,5,-1000)
ground(25,0,10)
texture(0,0,0,50)
fadefrom(6000)
density(5)
mountains(5254)
nlaps(5)
lightson()
name(Lost Ruins)
wallid(120)

set(17,-4400,-9560,250,90)
set(15,0,-9560,250,90)
set(17,4400,-9560,250,180)
set(15,0,-5600,250,0)
set(16,2200,-5600,250,0)
set(15,4400,-5250,250,0)
set(15,-2200,-5600,250,0)

chk(40,0,2500,250,0)

set(15,-4400,-5025,250,0)
set(15,0,0,250,0)p
set(15,2200,0,250,0)
set(15,4400,-575,250,0)
set(15,-2200,0,250,0)
set(16,-4400,-575,250,0)
set(17,-4400,3960,250,0)
set(16,0,3960,250,90)
set(17,4400,3960,250,-90)

set(15,0,5600,250,0)p
set(15,0,11200,250,0)p
set(34,0,12500,250,0)pr
set(24,0,13800,250,0)

set(60,0,18000,250,180)
set(57,0,22000,250,0)p
set(57,0,27600,250,0)p
set(63,0,33200,250,0)
chk(40,0,33300,-750,0)
set(57,0,38800,250,0)p
set(60,0,43000,250,90)pt
set(109,200,43700,-750,0)
set(109,-200,43700,-750,0)
chk(40,1000,43000,-750,90)
set(57,4000,43000,250,-90)p
set(58,9600,43000,250,-90)
set(65,9100,45600,250,-30)p

set(45,13000,50000,250,0)p
set(45,13000,55600,250,0)p
chk(40,13000,59000,-333,0)
set(45,13000,61200,250,0)p
set(46,13000,65200,250,90)pt
chk(40,14000,65200,-333,90)
set(30,16000,65200,250,90)p
set(10,20000,65200,250,90)p
set(10,25600,65200,250,90)p
set(14,30150,65200,250,-90)pt
set(10,30150,60650,250,0)p

chk(40,30150,58000,250,0)
set(43,30150,56800,250,90)
set(14,25600,56800,250,0)
set(10,25600,52250,250,0)
set(14,25600,47700,250,90)
set(14,34700,56800,250,-90)
set(10,34700,52250,250,0)
set(14,34700,47700,250,180)
set(43,30150,47700,250,-90)

set(26,30150,54500,250,180)pr
set(26,30150,53650,-250,180)pr
set(26,32400,52250,250,90)
set(26,31550,52250,-250,90)
set(26,27900,52250,250,-90)
set(26,28750,52250,-250,-90)
set(26,30150,50000,250,0)
set(26,30150,50850,-250,0)

set(10,30150,44000,250,0)
set(10,30150,38400,250,0)
set(10,30150,32800,250,0)
chk(40,30150,30400,250,0)
set(43,30150,28000,250,180)
set(10,30150,22400,250,0)p
set(10,30150,16800,250,0)p
set(30,30150,11200,250,180)p
set(46,30150,8200,250,180)pt
set(46,32950,8200,250,-90)pt
set(45,32950,12000,250,0)p
set(45,32950,17600,250,0)p
set(45,32950,23200,250,0)p
set(50,32950,28000,250,0)

set(84,32000,28000,250,90)
set(84,32000,26000,250,90)
set(84,32000,24000,250,90)
set(84,32000,22000,250,90)
set(84,32000,20000,250,90)
set(84,32000,18000,250,90)
set(84,32000,16000,250,90)


set(10,24550,28000,250,90)p
set(10,19750,28000,250,90)p
set(14,15200,28000,250,0)pt
chk(40,15200,25000,250,0)
set(10,15200,23450,250,0)p
set(10,15200,17850,250,0)p
set(10,15200,12250,250,0)p
set(10,15200,6650,250,0)p
set(26,15200,4000,250,180)pr


set(60,15200,400,250,90)
chk(40,15200,-3200,-750,0)
set(57,15200,-3400,250,0)p
set(57,15200,-9000,250,0)p
set(61,15200,-13000,250,-90)pt
chk(40,13300,-13000,-750,90)
set(63,11200,-13000,250,-90)p
set(63,5600,-13000,250,-90)p
set(63,0,-13000,250,-90)p
set(57,-6200,-13000,250,-90)
set(57,-11400,-13000,250,-90)
set(61,-15400,-13000,250,180)
set(51,-3450,-12500,-850,90)
set(51,-3450,-12800,-850,90)
set(51,-3450,-13100,-850,90)
set(51,-3450,-13400,-850,90)



set(109,-16800,-10700,-2100,0)
set(109,-17300,-10700,-2100,0)
set(57,-17100,-10700,-1100,180)
chk(40,-17100,-13700,-2100,180)
set(61,-17100,-14700,-1100,180)
set(57,-13100,-14700,-1100,-90)p
set(57,-7800,-14700,-1100,-90)p
set(57,-2200,-14700,-1100,-90)p
set(57,3400,-14700,-1100,-90)p
chk(40,3500,-14700,-2100,90)
set(60,7400,-14700,-1100,0)pt

set(124,7400,-18900,-1100,0)p
set(66,7400,-23100,-2100,-90)pt
chk(40,6000,-23100,-2100,90)
set(122,3200,-23100,-2100,90)p
set(66,-1000,-23100,-3100,180)pt
chk(40,-1000,-22100,-3100,0)


set(45,13000,48000,250,0)
set(46,13000,44000,250,180)
set(45,17000,44000,250,90)
set(45,17750,44000,250,90)
set(45,23350,44000,250,90)
set(45,28950,44000,250,90)
set(46,32950,44000,250,0)
set(45,32950,40000,250,0)
set(10,32950,34400,250,-20)
set(37,32950,34400,250,0)



set(122,-1000,-18900,-3100,0)

/// extra shit


set(57,4200,18000,250,90)
set(60,8400,18000,250,-90)
set(61,8400,20800,250,90)
set(60,11200,20800,250,-90)
set(57,11200,25000,250,180)
set(59,11200,33400,250,180)
set(117,11200,41800,250,0)


set(62,11000,-16700,-2100,0)
set(62,11000,-22300,-2100,0)
set(62,16600,-16700,-2100,0)
set(62,16600,-22300,-2100,0)

set(105,8200,67600,250,90)
set(63,16600,67600,250,90)

set(59,22200,400,250,-90)
set(57,30600,400,250,-90)
set(61,34800,400,250,-90)
set(63,34800,4600,250,0)
set(57,34800,10200,250,0)
set(63,34800,15800,250,0)
set(57,34800,21400,250,0)
set(57,34800,27000,250,0)
set(59,34800,35400,250,0)
set(60,34800,42400,250,90)
set(61,37600,42400,250,-90)
set(57,37600,46600,250,0)
set(57,37600,52200,250,0)
set(63,37600,57800,250,0)
set(57,37600,63400,250,0)
set(61,37600,67600,250,0)
set(57,33400,67600,250,90)
set(57,27800,67600,250,90)
set(57,22200,67600,250,90)


set(64,-17100,-5100,-1100,180)
set(122,-17100,500,-1100,180)
set(65,-17100,6100,-100,180)
set(64,-17100,11700,-100,0)
set(57,-17100,17300,-100,0)
set(58,-17100,20100,-100,0)

set(57,-15400,-3200,250,180)
set(57,-15400,-8800,250,180)
set(57,-15400,2400,250,180)
set(63,-15400,8000,250,180)
set(57,-15400,13600,250,180)
set(57,-15400,19200,250,180)
set(60,-15400,23400,250,0)
set(61,-18200,23400,250,180)


set(57,-17100,17300,-100,0)
set(58,-17100,20100,-100,0)


set(122,-18200,33200,250,180)


set(64,-18200,27600,250,180)
set(125,-18200,38800,250,0)
set(96,-18200,43700,250,0)
set(95,-13300,43700,250,90)
set(96,-8400,43700,250,180)
set(95,-8400,48600,250,180)
set(95,-8400,54200,250,180)
set(95,-8400,59800,250,180)
set(95,-200,67600,250,90)
set(95,-3500,67600,250,-90)
set(96,-8400,67600,250,0)
set(95,-8400,62700,250,0)

//cops


cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)

maxl(20,-22815,-24464)
maxb(13,-26864,-20415)
maxr(20,39584,-24464)
maxt(13,69136,-20415)
