snap(-10,20,30)
sky(105,148,252)
fog(20,189,107)
clouds(255,255,255,5,-1046)
ground(25,125,13)
texture(241,13,13,22)
fadefrom(7000)
density(5)
mountains(5254)
nlaps(6)
wallid(122)
name(449 Reasons To Drive)


set(10,0,0,250,0)p
set(44,0,8050,250,0)
chk(40,0,6000,250,0)r
set(10,0,2800,250,0)p
set(10,-5600,8050,250,90)
chk(40,-3884,8050,250,90)r
set(10,-7220,8050,250,90)
set(10,-12820,8050,250,90)
set(10,-18420,8050,250,90)
set(10,-24020,8050,250,90)
chk(40,-25908,8050,250,90)r
set(43,-28570,8050,250,0)
set(10,-28570,3500,250,180)
set(10,-28570,-2100,250,180)
chk(40,-28570,0,250,0)r
set(14,-28570,-6650,250,90)
set(10,-24020,-6650,250,90)
chk(40,-24244,-6650,250,90)r
set(14,-19470,-6650,250,-90)
set(10,-19470,-11200,250,180)
set(10,-19470,-16800,250,180)
chk(40,-19470,-19260,250,0)r
set(12,-20990,-22430,250,150)
set(14,-22510,-27010,250,180)
set(13,-27090,-28530,250,120)
chk(40,-29920,-30050,250,90)r
set(14,-46860,-30050,250,90)
set(10,-46860,-25500,250,0)
chk(40,-46860,-25452,250,0)r
set(14,-46860,-20950,250,0)
set(10,-42310,-20950,250,-90)
set(14,-37760,-20950,250,-90)
set(10,-37760,-25500,250,0)
chk(40,-37760,-25816,250,0)r
set(10,-37760,-31100,250,0)
set(30,-33229,-30050,250,90)
set(30,-41801,-30050,250,-90)
set(10,-37760,-36700,250,0)
set(10,-37760,-42300,250,0)
chk(40,-37760,-45000,250,0)r
set(10,-37760,-47900,250,0)
set(10,-37760,-53500,250,0)
set(14,-37760,-70830,250,180)
chk(40,-37760,-69080,250,0)r
set(10,-42310,-70830,250,90)
set(14,-46860,-70830,250,90)
chk(40,-46860,-69080,250,0)r
set(10,-46860,-66280,250,0)
set(14,-46860,-61730,250,0)
set(10,-42310,-61730,250,-90)
chk(40,-40068,-61730,250,90)r
set(12,-36680,-63250,250,-120)
set(30,-37760,-65771,250,0)
set(14,-32100,-64770,250,180)
chk(40,-32100,-63524,250,0)r
set(10,-32100,-60220,250,0)
set(10,-32100,-54620,250,0)
set(30,-37760,-57094,250,180)
set(12,-30580,-48990,250,-30)
set(14,-29060,-44410,250,0)
chk(40,-29060,-45936,250,0)r
set(13,-24480,-42890,250,-60)
set(10,-18850,-41370,250,-90)
set(10,-13250,-41370,250,-90)
chk(40,-13788,-41370,250,90)r
set(13,-7620,-39850,250,-60)
set(14,-3040,-38330,250,180)
set(12,-1520,-33750,250,150)
set(10,0,-28120,250,0)
chk(40,0,-30572,250,0)r
set(10,0,-22520,250,0)
set(12,1520,-16890,250,-30)
set(10,3040,-11260,250,0)
set(13,1520,-5630,250,30)
set(103,-37515,-30050,250,-90)
set(103,-37760,-61574,250,180)


//scenery

set(10,5600,8050,250,90)p
set(10,0,13650,250,0)p
set(110,900,8450,250,90)
set(110,900,8050,250,90)
set(110,900,7650,250,90)


set(109,500,8950,250,180)
set(109,0,8950,250,180)
set(109,-500,8950,250,180)
set(107,-500,9250,235,135)
set(107,500,9250,235,-135)
set(110,500,9650,250,180)
set(110,0,9650,250,180)
set(110,-500,9650,250,180)

set(109,-28570,8950,250,180)
set(109,-28070,8950,250,180)
set(109,-29070,8950,250,180)


set(107,-28070,9250,235,135)
set(107,-29000,9250,235,-135)
set(110,-28070,9650,250,180)
set(110,-28570,9650,250,180)
set(110,-29070,9650,250,180)


set(110,-29470,8450,250,-90)
set(110,-29470,8050,250,-90)
set(110,-29470,7650,250,-90)

set(88,6100,9900,250,180)
set(87,4600,9900,250,180)
set(86,3100,9900,250,180)
set(85,1600,9900,250,180)
set(94,8200,7000,250,90)
set(94,3400,7000,250,90)
set(94,-3400,7000,250,90)
set(94,-8200,7000,250,90)
set(94,-13000,7000,250,90)
set(94,-17800,7000,250,90)
set(94,-22600,7000,250,90)
set(94,-29470,4200,250,0)
set(94,-29470,-600,250,0)
set(94,-29470,-5400,250,0)
set(94,-29470,-10200,250,0)
set(94,-29470,-15000,250,0)
set(94,-31870,-17400,250,90)
set(94,-36670,-17400,250,90)
set(94,-41470,-17400,250,90)
set(94,-46270,-17400,250,90)
set(94,-51070,-17400,250,90)

set(91,-26400,5600,250,-90)

set(10,-28570,13650,250,0)p

cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)
cop(9,1000000000,1000000000)

maxl(18,-50710,-72190)
maxb(12,-74590,-48310)
maxr(18,6890,-72190)
maxt(12,11810,-48310)





