
snap(-40,-60,50)
thunder()
rain(207,207,207)

sky(15,17,18)
fog(15,16,18) 
ground(212,198,150)

clouds(255,255,255,3,-1437)
texture(0,82,255,31)
density(5)
lightson()


fadefrom(6000)

name(Parking Lot Bash)
nlaps(5)


set(10,0,0,250,0)p
set(10,0,5600,250,0)p
chk(40,0,2800,250,0)
set(62,5600,14000,-583,0)p
set(62,5600,19600,-583,0)p
set(62,0,19600,-583,0)p
set(62,0,14000,-583,0)p
set(10,0,25600,250,0)p
set(14,0,30000,250,0)pt
chk(40,4000,30000,250,90)
set(10,4400,30000,250,90)p
set(10,10000,30000,250,90)p
set(10,15600,30000,250,90)p
set(10,21200,30000,250,90)p
set(10,26800,30000,250,90)p
set(10,32400,30000,250,90)p
chk(40,4000,30000,250,90)
set(14,36800,30000,250,-90)pt
set(43,36800,26350,250,180)p
set(10,36800,21450,250,0)p
chk(40,36800,20000,250,0)
set(43,36800,16570,250,180)pt
set(23,34000,16570,250,-90)p
set(29,30500,16570,250,90)p
set(62,21750,18470,-583,0)p
set(62,27350,18470,-583,0)p
set(67,17000,16750,0,90)p
set(67,15600,16750,0,90)p
set(67,13200,16750,0,90)p
set(67,12800,16750,0,90)p
set(67,11400,16750,0,90)p
set(67,10000,16750,0,90)p
set(118,-3400,16750,-585,90)pt
set(87,-11200,16750,250,180)p
set(88,-12800,16750,250,180)p
set(87,-14400,16750,250,180)p

chk(40,-15000,16750,-2100,90)
set(88,-16000,16750,250,180)pt
set(87,-16000,18350,250,90)p
set(88,-16000,19950,250,90)p
set(87,-16000,21550,250,90)p
set(88,-16000,23150,250,90)p
set(87,-16000,24750,250,90)p
set(88,-16000,26350,250,90)pt
chk(40,-15000,26350,-2100,90)

set(10,-13700,16750,-2200,90)
set(10,-16000,18700,-2200,0)
set(10,-16000,24300,-2200,0)
set(10,-13700,26350,-2200,90)

set(87,-14400,26350,250,0)p
set(88,-12800,26350,250,0)p
set(87,-11200,26350,250,0)p
set(45,-4900,30550,250,0)p
set(46,-4900,26350,250,180)p
set(45,-700,26350,250,90)p
set(45,4100,26350,250,90)p
set(45,9700,26350,250,90)p
set(30,13300,26350,250,90)p
set(29,18900,26350,250,-90)p
set(62,21750,24070,-583,0)pt
set(62,27350,24070,-583,0)pt
set(118,24550,15070,-585,180)p
set(89,24550,5600,250,0)p
set(90,24550,0,250,180)p
set(91,24550,-3500,250,0)p
set(43,21750,2800,250,0)p
set(10,21750,-2800,250,0)p
set(43,21750,-7200,250,90)pt
set(10,17300,-7200,250,90)p
set(10,15600,-7200,250,90)p
set(10,10000,-7200,250,90)p
set(10,4400,-7200,250,90)p
set(44,0,-7200,250,0)p
set(47,-8200,-7200,250,0)p
set(43,-15400,-7200,250,90)p
chk(40,-15400,-6000,250,0)
set(10,-15400,-2800,250,0)p
