snap(-60,-60,-60)

sky(0,0,0)
fog(45,30,0)
ground(90,60,0)

fadefrom(8000)
rain(125,125,125)
thunder()
lightson()
name(Stormy Ascent)
nlaps(1)


set(10,0,0,250,0)p
chk(40,0,2800,250,0)
set(14,0,4550,250,0)
set(45,3939,1750,250,-90)
set(46,8139,1750,250,-90)
set(46,8139,4550,250,0)
set(30,5059,4550,250,-90)pl
set(61,13739,-3850,-750,-90)
set(63,13739,350,-750,0)
set(60,10939,-3850,-750,90)pr
set(61,10939,-6650,-750,-90)pr
set(59,3939,-6650,-750,-90)pr
set(61,-11461,1750,250,180)
set(59,-11461,8750,250,180)
set(61,-11461,15750,250,90)
set(57,-7261,15750,250,90)
set(61,-8661,-1050,250,180)
set(105,-4461,1750,250,-90)
set(64,-1661,15750,250,90)
set(65,3939,15750,250,90)
set(65,9539,15750,250,90)
set(66,13739,15750,-750,0)
set(122,13739,11550,-750,180)
set(124,13739,5950,-750,180)
set(64,-4461,-6650,-750,-90)
set(122,-10061,-6650,-1750,90)
set(66,-14261,-6650,-2750,90)
set(122,-14261,-10850,-2750,180)
set(64,-14261,-16450,-2750,180)
set(59,-14261,-24850,-2750,180)
set(57,-14261,-33250,-2750,180)
set(60,-14261,-37450,-2750,-90)
set(63,-18461,-37450,-2750,90)
set(124,-24061,-37450,-2750,-90)
set(122,-29661,-37450,-3750,90)
set(66,-33861,-37450,-4750,180)
set(64,-33861,-33250,-3750,0)
set(59,-33861,-24850,-3750,0)
set(57,-33861,-16450,-3750,0)
set(60,-33861,-12250,-3750,90)
set(63,-29661,-12250,-3750,-90)
set(61,-25461,-12250,-3750,-90)
set(124,-25461,-8050,-3750,180)
set(66,-25461,-3850,-4750,90)
set(66,-22661,-3850,-4750,-90)
chk(40,-22661,-3450,-4750,0)
set(64,-22661,350,-3750,0)
set(61,-22661,4550,-3750,0)
set(60,-25461,4550,-3750,180)
set(59,-25461,11550,-3750,0)
set(60,-25461,18550,-3750,90)
set(61,-22661,18550,-3750,-90)
set(57,-22661,22750,-3750,0)
set(61,-22661,26950,-3750,0)
chk(40,-29661,26950,-4750,90)
set(59,-29661,26950,-3750,90)p

//scenery

set(61,-8661,-1050,250,180)

maxl(16,-40050,-40060)
maxb(12,-42460,-37650)
maxr(16,17549,-40060)
maxt(12,34339,-37650)
