name(Monsoon Bay)
snap(-24,-36,-2)
sky(191,215,255)
fog(242,242,242)
clouds(255,255,255,5,-1000)
ground(58,56,98)
texture(0,0,0,50)
rain(200,200,255)
fadefrom(5000)
density(3)
mountains(95114)
nlaps(5)
lightson()


set(52,50,1600,0,0)p
set(56,50,-3900,0,-90)
set(56,-5550,-3900,0,180)pr
set(56,-5550,12900,0,0)
set(46,-23675,3650,250,-90)
set(45,-27875,3650,250,90)
set(52,-22350,7300,0,-90)pr
set(45,-33475,3650,250,90)
set(52,-27950,7300,0,-90)pr
set(45,-39075,3650,250,90)
set(56,-33550,7300,0,180)pr
set(56,-33550,12900,0,90)pr
set(56,-43580,14825,0,-90)pr
set(56,-43580,20425,0,0)
set(56,-71580,20425,0,90)pr
set(56,-71580,14825,0,180)
set(56,-54775,-35575,0,-90)
set(45,-21175,-24375,250,-90)p
set(45,-15575,-24375,250,-90)p
set(45,-9975,-24375,250,-90)p
set(45,-4375,-24375,250,-90)p
set(45,1225,-24375,250,-90)
set(45,6825,-24375,250,-90)p
set(45,12425,-24375,250,-90)p
set(45,18025,-24375,250,-90)p
set(45,23625,-24375,250,-90)p
set(46,29450,-24375,250,-90)p
set(45,25250,-24375,250,-90)p
set(45,29450,-20475,250,180)p
set(45,29450,-16500,250,180)p
set(45,29450,-10900,250,180)p
set(45,29450,-5300,250,180)p
set(46,29450,-1100,250,90)p
set(45,32250,3000,250,0)p
set(45,32250,8600,250,0)p
set(45,32250,14200,250,0)p
set(46,32250,18400,250,0)p
set(45,28050,18400,250,-90)
set(45,22450,18400,250,-90)p
set(45,16850,18400,250,-90)p
set(60,34985,-9605,250,0)pr
set(59,32250,-16600,250,0)pr
set(57,32250,-25000,250,0)
set(61,32250,-29200,250,-90)pr
set(57,28050,-29200,250,-90)pr
set(57,22450,-29200,250,-90)pr
set(61,18250,-29200,250,180)pr
set(60,18250,-26400,250,0)pr
set(57,14050,-26400,250,-90)pr
set(54,-49180,9225,0,180)
set(52,50,7200,0,0)
set(52,50,12800,0,0)
set(55,50,18400,0,90)
set(52,5650,18400,0,-90)
set(52,-32375,-24375,0,-90)
set(52,-37975,-24375,0,-90)
set(52,-43575,-24375,0,-90)
set(52,-49175,-24375,0,-90)
set(55,-54775,-24375,0,90)
set(52,-60375,-35575,0,-90)
set(55,-65964,-1975,0,-90)
set(52,-77025,-1975,0,90)
set(53,-82625,-1975,0,90)
set(52,-65980,3625,0,180)
set(52,-65980,9225,0,180)
set(55,-65980,14825,0,0)
set(52,-65980,20425,0,90)
set(52,-60380,20425,0,90)
set(52,-54780,20425,0,90)
set(52,-49180,20425,0,90)
set(55,-49180,14825,0,90)
set(52,-5550,1700,0,180)
set(55,-5550,7300,0,0)
set(52,-11150,7300,0,-90)
set(52,-16750,7300,0,-90)
set(52,-27950,12900,0,90)
set(52,-22350,12900,0,90)
set(52,-16750,12900,0,90)
set(52,-11150,12900,0,90)
set(104,11250,18400,0,-90)
set(105,32250,-5400,250,0)
set(117,8450,-26400,250,90)
set(104,-26775,-24375,0,-90)
set(127,-54775,-29975,0,0)
set(107,-54350,-32128,0,90)
set(107,-55190,-32128,0,-90)
set(110,-55184,-31894,0,0)
set(110,-54775,-31894,0,0)
set(110,-54350,-31888,0,0)
set(109,-55184,-31630,0,0)
set(109,-54350,-31624,0,0)
set(128,-60375,-29975,0,90)
set(119,-65975,-29975,-1000,90)
set(120,-65980,-35534,-1000,180)
set(128,-65980,-24375,0,180)
set(115,-65980,-18775,0,180)
set(116,-65980,-13175,0,180)
set(120,-60408,-13170,0,180)
set(120,-71580,-13168,0,0)
set(120,-60408,-7575,0,-90)
set(119,-65980,-7575,0,0)
set(120,-71580,-18768,0,180)
set(120,-71564,-7575,0,90)
set(127,-71564,-1975,0,90)
set(103,-44675,12025,250,90)
set(103,-44675,10625,250,90)
set(103,-44675,9225,250,90)
set(103,-44675,7825,250,90)
set(103,-44675,6425,250,90)
set(103,-44675,5050,250,90)
set(103,-44675,3650,250,90)
set(103,-50275,3650,250,90)
set(103,-50275,5050,250,90)
set(103,-52375,8550,250,180)
set(107,12868,-24824,-333,0)
set(107,12868,-23726,-333,180)
set(107,12376,-23918,-333,180)
set(107,12376,-24662,-333,0)
set(110,12622,-23630,-333,90)
set(110,12622,-24056,-333,90)
set(110,12610,-24602,-333,90)
set(110,12604,-25028,-333,90)
set(109,13204,-23630,-333,90)
set(109,13204,-24056,-333,90)
set(109,13228,-24602,-333,90)
set(109,13222,-25028,-333,90)
set(109,12062,-23630,-333,90)
set(109,12062,-24056,-333,90)
set(109,12062,-24602,-333,90)
set(109,12080,-25028,-333,90)
set(109,31284,-768,-333,90)
set(109,31268,-1600,-333,90)
set(109,31446,-1100,-333,90)
set(107,31058,-646,-333,180)
set(107,31058,-1606,-333,0)
set(110,30860,-768,-333,-90)
set(110,30850,-1100,-333,-90)
set(110,30854,-1600,-333,-90)
set(107,33585,-9910,-750,0)
set(107,33585,-9160,-750,180)
set(109,33272,-9218,-750,-90)
set(109,33272,-9572,-750,-90)
set(109,33290,-9926,-750,-90)
set(110,33820,-9218,-750,90)
set(110,33820,-9572,-750,90)
set(110,33820,-9926,-750,90)
set(107,-27974,-23816,0,180)
set(107,-27974,-25136,0,0)
set(111,-28124,-24056,0,90)
set(111,-28130,-24602,0,90)
set(109,-27740,-23840,0,90)
set(109,-27734,-25028,0,90)
set(109,-28334,-23840,0,90)
set(109,-28358,-25028,0,90)
set(107,-65620,-31144,-1000,90)
set(107,-66480,-31144,-1000,-90)
set(109,-66712,-30856,-1000,0)
set(109,-66184,-30856,-1000,0)
set(109,-65696,-30856,-1000,0)
set(109,-65184,-30856,-1000,0)
set(110,-66712,-31392,-1000,0)
set(110,-66184,-31376,-1000,0)
set(110,-65696,-31408,-1000,0)
set(110,-65184,-31432,-1000,0)
set(110,-67808,-12415,0,-90)
set(110,-67822,-12863,0,-90)
set(110,-67829,-13311,0,-90)
set(110,-67829,-13801,0,-90)
set(107,-67549,-12366,0,180)
set(107,-67549,-12870,0,180)
set(107,-67549,-13416,0,0)
set(107,-67549,-13962,0,0)
set(109,-67165,-12415,0,90)
set(109,-67172,-12863,0,90)
set(109,-67186,-13311,0,90)
set(109,-67186,-13801,0,90)
set(109,-72598,-1316,0,90)
set(109,-72592,-2500,0,90)
set(109,-72394,-1600,0,90)
set(109,-72386,-2186,0,90)
set(107,-72858,-2466,0,0)
set(107,-72584,-2076,0,0)
set(107,-72858,-1452,0,180)
set(110,-73064,-1316,0,-90)
set(110,-73190,-1600,0,-90)
set(110,-73136,-1975,0,-90)
set(110,-73250,-2186,0,-90)
set(110,-73154,-2500,0,-90)
set(110,-60576,21096,0,90)
set(110,-60576,20016,0,90)
set(107,-60408,20008,0,0)
set(107,-60408,21128,0,180)
set(111,-60264,21096,0,-90)
set(111,-60264,20696,0,-90)
set(111,-60264,20224,0,-90)
set(107,-48620,10032,0,10)
set(107,-49706,10530,0,-10)
set(94,-47475,10225,-333,180)
set(94,-47475,8225,-333,180)
set(94,-45075,12625,-333,-90)
set(94,-44245,12625,-333,-90)
set(94,-41875,10225,-333,0)
set(94,-41875,6825,-333,0)
set(94,-44200,2932,-333,90)
set(94,-49000,2932,-333,90)
set(94,-50653,2932,-333,90)
set(94,-53053,5332,-333,180)
set(94,-53053,8987,-333,0)
set(92,-46380,11095,-333,180)
set(92,-44330,11095,-333,180)
set(85,-52375,10609,-333,180)
set(69,-42675,11925,-333,0)
set(92,-51575,4003,-333,-90)
set(84,-42636,5320,-333,90)
set(84,-42635,6840,-333,90)
set(107,-44288,4620,-333,100)
set(107,-46136,4728,-333,10)
set(107,-49540,3348,-333,20)
set(107,-42892,3272,-333,110)
set(107,-25114,7858,0,180)
set(107,-25114,6598,0,0)
set(107,-25114,7300,0,0)
set(109,-24650,7825,0,90)
set(109,-24656,7300,0,90)
set(109,-24656,6840,0,90)
set(110,-25420,7825,0,-90)
set(110,-25444,7300,0,-90)
set(110,-25450,6840,0,-90)

chk(40,50,15600,0,0)r
chk(40,29460,18400,-333,90)r
chk(48,32150,-23935,-750,0)r
chk(40,3175,-24375,-333,90)r
chk(40,-51665,-24375,0,90)r
chk(40,-64170,-29975,-1000,90)r
chk(40,-65980,-9220,0,0)r
chk(40,-65980,12460,0,0)r
chk(40,-45715,20425,0,90)r
chk(40,-41875,3650,-333,90)r
chk(40,-18050,7300,0,90)r
chk(40,-2750,-3900,0,90)r

maxl(14,-88929,-38866)
maxb(27,-41266,-86529)
maxr(14,40670,-38866)
maxt(27,25933,-86529)

