name(Fogbound)
nlaps(50)
snap(-69,-69,-69)
sky(104,126,138)
fog(24,77,165)
ground(240,246,248)
clouds(255,255,255,5,-1000)
texture(0,0,0,50)
fadefrom(3000)
density(5)
mountains(60306)



set(10,0,0,250,0)p
set(10,0,5600,250,0)
chk(40,0,8400,250,0)r
set(12,1520,11230,250,-30)p
chk(40,3040,14060,250,0)r
set(10,3040,16860,250,0)
set(28,3040,18982,250,0)
set(10,3040,22460,250,0)
set(10,3040,28060,250,0)p
set(10,3040,33660,250,0)p
chk(40,3040,36460,250,0)r
set(14,3040,38210,250,0)
set(13,7620,39730,250,120)p
set(10,13250,41250,250,90)p
set(10,18850,41250,250,90)p
chk(40,21650,41250,250,90)r
set(14,23400,41250,250,-90)
set(10,23400,36700,250,0)p
set(10,23400,31100,250,0)p
set(10,23400,25500,250,0)p
set(31,23400,24991,250,180)pr
fix(41,23400,15558,-7000,0)s
fix(41,23400,15558,-6000,0)s
fix(41,23400,15558,-5000,0)s
set(12,21880,19870,250,-30)p
set(10,20360,14240,250,0)p
set(32,20710,14260,250,180)pr
set(32,20010,11440,250,180)pr
set(10,20360,8640,250,0)
set(10,20360,3040,250,0)p
set(32,20010,240,250,180)pr
set(32,20710,-1999,250,180)
set(10,20360,-2560,250,0)
set(13,21880,-8190,250,30)p
set(10,23400,-13820,250,0)p
chk(40,23400,-16620,250,0)r
set(14,23400,-18370,250,180)pt
set(36,19210,-20180,250,180)ph
set(10,18850,-18370,250,-90)p
set(36,17250,-20180,250,180)
set(36,15290,-20180,250,180)ph
set(36,13330,-20180,250,180)
set(10,13250,-18370,250,-90)p
set(10,13190,-18370,250,-90)p
set(36,11370,-20180,250,180)
set(36,9410,-20180,250,180)
set(10,7590,-18370,250,-90)p
set(36,7450,-20180,250,180)ph
chk(40,4790,-18370,250,90)r
set(14,3040,-18370,250,90)pt
set(10,3040,-13820,250,0)p
set(14,3040,-9270,250,0)pt
chk(40,4790,-9270,250,90)r
set(14,6540,-9270,250,180)pt
set(10,6540,-4720,250,0)p
set(10,6540,-3500,250,0)p
set(14,6540,1050,250,-90)pt
chk(40,4790,1050,250,90)r
set(14,3040,1050,250,90)pt
set(10,3040,5600,250,180)p
chk(40,3040,8400,250,0)r
set(13,1520,11230,250,30)p
chk(40,0,14060,250,0)r
set(10,0,16860,250,180)p
set(30,0,20340,250,0)pl
set(10,0,22460,250,0)p
set(10,0,28060,250,0)p
chk(40,0,30860,250,0)r
set(14,0,32610,250,-90)pt
set(10,-4550,32610,250,-90)p
set(29,-6080,32598,250,-90)pr
set(10,-10150,32610,250,-90)
set(10,-15535,32598,250,-90)p
set(14,-20085,32598,250,0)pt
chk(40,-20085,30848,250,0)r
set(10,-20085,28048,250,0)p
set(13,-18565,22418,250,30)p
set(10,-17045,16788,250,0)p
chk(40,-17045,13988,250,0)r
set(10,-17045,11188,250,0)p
set(26,-17045,9010,250,180)pr
set(13,-15525,5558,250,30)p
set(28,-14005,564,250,0)pr
set(10,-14005,-72,250,0)p
set(10,-14005,-5672,250,0)p
set(10,-14005,-11272,250,0)p
chk(40,-14005,-14072,250,0)r
set(14,-14005,-15822,250,90)pt
set(10,-9455,-15822,250,90)p
set(10,-4550,-15822,250,-90)p
set(14,0,-15822,250,180)pt
chk(40,0,-12628,250,0)r
set(10,0,-11272,250,0)
set(10,0,-11200,250,0)p
set(10,0,-5600,250,0)p
set(45,0,-5091,250,0)p

maxl(14,-24497,-20073)
maxb(11,-22473,-22097)
maxr(14,28302,-20073)
maxt(11,44727,-22097)
