
name(Sands of Time) //We need some cacti

snap(-70,-80,-80)

sky(5,5,10)
fog(43,31,21)
ground(131,92,65)

fadefrom(5000)

clouds(0,0,0,6,-1500)
mountains(97269)
nlaps(2)
lightson()


set(10,0,0,250,0)p
set(10,0,5600,250,0)p
set(10,0,11200,250,0)p
set(44,0,14810,250,0)p //yo
set(10,0,20000,250,0)p
set(10,0,22400,250,0)p
set(10,0,28000,250,0)p
set(13,-1520,33630,250,30)p
set(20,0,33600,250,180) //construction
set(34,1320,33600,250,90) //construction
set(35,-350,39610,250,0) //construction
set(24,0,36400,250,0) //construction
set(10,-3040,39260,250,0)
set(37,0,38510,250,0) //construction
chk(40,-3040,39410,250,0)
set(12,-1520,44890,250,-30)p
set(10,0,50520,250,0)p
set(43,0,55070,250,0)
chk(40,4549,55070,250,90)
set(10,4550,55070,250,90)p
set(28,10000,55070,250,90)
set(10,10150,55070,250,90)p
set(10,15750,55070,250,90)p
chk(40,18550,55070,250,90)
set(12,21380,53550,250,60)p
set(14,25930,52030,250,-90)
chk(40,25930,47481,250,0)
set(10,25930,47480,250,0)p
set(10,25930,41880,250,0)p
set(10,25930,36280,250,0)p
set(13,27450,30650,250,30)p
set(10,28970,25020,250,0)p
chk(40,28970,25021,250,0)
set(10,28970,19420,250,0)p
set(10,28970,19360,250,0)p
set(14,28970,14810,250,180)

//abondoned buildings here
set(92,28970,12410,250,0)
set(92,24970,12410,250,0)
set(92,20970,12410,250,0)

chk(40,24419,14810,250,90)
set(10,24420,14810,250,90)p
set(10,21890,14810,250,90)p
set(26,19000,14810,250,90)
set(10,16290,14810,250,90)p
set(10,10690,14810,250,90)p
set(10,5090,14810,250,90)p
set(10,-4000,14810,250,90)p
set(10,-6110,14810,250,90)p
set(10,-11710,14810,250,90)p
set(26,-12710,14810,250,90)pr
set(23,-14310,14810,250,-90)

set(24,-23910,14810,250,-90)
set(15,-26510,14810,250,90)p
chk(42,-28785,14810,250,90)
set(17,-31060,14810,250,0)pt
set(15,-31060,10260,250,0)p
set(35,-31060,10000,250,0)pr
set(15,-31060,4660,250,0)p
set(15,-31060,-940,250,0)p
set(15,-31060,-6540,250,0)p
chk(42,-31060,-7840,250,0)
set(24,-31060,-9140,250,180)p

//roadblock here
set(110,-31260,-9500,250,0)
set(110,-30860,-9500,250,0) //400
set(107,-31460,-9900,250,-30)
set(107,-30660,-9900,250,30)

set(17,-31060,-1990,250,0)pt
set(20,-26510,-1990,250,-90)p
chk(48,-23710,-1990,250,90)
set(43,-20910,-1990,250,-90)p

//split
rpr(69,-20910,-6500,250,0)
set(10,-20910,-6540,250,0)po
set(14,-20910,-10390,250,90)
set(10,-16360,-10390,250,90)
set(10,-10760,-10390,250,90)
set(10,-5160,-10390,250,90)
set(10,440,-10390,250,90)
set(26,2500,-10390,250,-90)
set(23,3040,-10390,250,90)

//back to main route
set(30,-15310,-1990,250,-90)pr
set(45,-10910,-1990,250,90)p
set(45,-5310,-1990,250,90)p
set(45,290,-1990,250,90)p
set(46,4490,-1990,250,0)pt
set(45,4490,-6190,250,0)p
set(46,4490,-10390,250,180)pt
set(45,8690,-10390,250,90)p
set(45,14290,-10390,250,90)p
chk(48,19889,-10390,-343,90)
set(45,19890,-10390,250,90)p
set(46,24090,-10390,250,-90)pt
chk(48,24090,-6200,-343,0)
set(45,24090,-6190,250,0)p
set(46,24090,-1990,250,90)pt
chk(48,28000,-1990,-343,90)
set(45,28290,-1990,250,90)p
set(50,33890,-1990,250,90)p
set(50,33890,-3290,250,-90)p
set(45,39490,-3290,250,90)p
chk(48,39491,-3290,-343,90)p
set(46,43690,-3290,250,0)pt
set(45,43690,-7490,250,0)p
set(105,43690,-15890,250,0)p //8400
set(57,43690,-24290,250,0)p
chk(63,43690,-29890,250,0)
set(57,43690,-35490,250,0)p
set(61,43690,-39690,250,-90)pt
chk(63,39490,-39690,250,-90)
set(57,33890,-39690,250,-90)p
set(57,28290,-39690,250,-90)p
set(59,19890,-39690,250,-90)p //use coord for river
set(57,11490,-39690,250,-90)p
chk(63,5890,-39690,250,-90)p
set(117,290,-39690,250,90)p //escape
//need mirrored version of set 58

set(24,2890,-34690,250,-90)
set(15,290,-34690,250,90)p
set(15,-5310,-34690,250,90)p
set(15,-10910,-34690,250,90)p //start town
chk(42,-11910,-34690,250,90)
set(32,-13500,-35000,250,90)pr
set(15,-16510,-34690,250,90)p
set(17,-21060,-34690,250,90)pt
set(15,-21060,-30140,250,0)p
chk(42,-21060,-29140,250,0)
set(17,-21060,-25590,250,0)pt
chk(42,-17900,-25590,250,90)
set(15,-16510,-25590,250,90)p
set(33,-11000,-25590,250,-90)pr
set(107,-10200,-25240,250,0) //block
set(107,-10200,-25940,250,0) //block
set(15,-10910,-25590,250,90)p
set(15,-5310,-25590,250,90)p //end town
set(17,-760,-25590,250,-90)pt
chk(42,-760,-27340,250,0)
set(17,-760,-29090,250,90)pt
set(15,3790,-29090,250,90)p
set(20,9390,-29090,250,-90)p
set(10,14990,-29090,250,90)p
set(47,19890,-29090,250,90)pr

set(10,24790,-29090,250,90)p
set(10,30390,-29090,250,90)p
chk(40,32000,-29090,250,90)
set(14,34940,-29090,250,180)p
set(10,34940,-24540,250,0)p
chk(40,34940,-24400,250,0)
set(14,34940,-19990,250,-90)
set(43,30390,-19990,250,90)p
set(10,24790,-19990,250,90)p
set(47,19890,-19990,250,90)pr

set(10,14990,-19990,250,90)p
set(10,10900,-19990,250,90)p
chk(40,8050,-19990,250,90)
set(14,6350,-19990,250,90)
set(10,6350,-15440,250,0)p
set(10,6350,-9840,250,0)p
set(10,6350,-9100,250,0)p
set(14,6350,-4550,250,-90)p
set(22,4100,-4550,250,90)p
set(22,3175,-4550,250,-90)p
chk(40,3174,-4550,250,90)
set(22,2250,-4550,250,90)p
set(14,0,-4550,250,90)pt

//extra town roads
set(107,-22500,-25940,250,0)
set(107,-22500,-25240,250,180)
set(110,-22100,-25940,250,-90)
set(110,-22100,-25240,250,-90)
set(15,-22110,-25590,250,90)
set(15,-27710,-25590,250,90)
set(24,-30310,-25590,250,90)

//highway barriers
set(109,35700,-1640,-343,90)
set(109,35700,-2340,-343,90)
set(109,32080,-3640,-343,90)
set(109,32080,-3290,-343,90)

//town barriers
set(109,-18510,-35140,250,90)
set(109,-12510,-34140,250,90)

//river
set(97,19890,-36200,250,0) //19890 stays constant
set(97,19890,-31200,250,0)
set(97,19890,-26200,250,0)
set(97,19890,-21200,250,0)
set(97,19890,-16200,250,0) //need river end piece

//excess canyon turnoff
set(58,47890,-20090,250,-90)
set(30,40900,-11600,250,-90)
set(10,35300,-11600,250,90)
set(10,34940,-11600,250,90)
set(14,30390,-11600,250,0)
set(10,30390,-16150,250,0)
set(109,30740,-18400,250,0)
set(109,30040,-18400,250,0)

//excess roads, first straight
set(10,0,60670,250,0)
set(10,0,66270,250,0)
set(10,0,71870,250,0)
set(23,0,74470,250,180)

//town houses //2000 apart
set(84,-10910,-36690,250,0)
set(85,-10910,-32690,250,180)
set(86,-12910,-36690,250,0)
set(86,-12910,-32690,250,180)
set(84,-14910,-36690,250,0)
set(85,-14910,-32690,250,180)
set(86,-16910,-36690,250,0)
set(86,-16910,-32690,250,180)
set(84,-18910,-36690,250,0)
set(85,-18910,-32690,250,180)
set(84,-20910,-36690,250,0)
set(85,-23060,-34690,250,-90)
set(84,-23060,-30690,250,-90)
set(86,-19060,-30690,250,90)
set(86,-23060,-32690,250,-90)
set(84,-19060,-32690,250,90)
set(86,-23060,-34690,250,-90)
set(85,-23060,-28690,250,-90)
set(86,-20510,-23590,250,180)
set(86,-22510,-23590,250,180)
set(84,-24510,-23590,250,180)
set(85,-16510,-23590,250,180)
set(86,-18510,-23590,250,180)
set(84,-18510,-27590,250,0)
set(86,-16510,-23590,250,180)
set(85,-16510,-27590,250,0)
set(85,-14510,-23590,250,180)
set(84,-14510,-27590,250,0)
set(85,-12510,-23590,250,180)
set(86,-12510,-27590,250,0)
set(86,-10510,-23590,250,180)
set(84,-10510,-27590,250,0)
set(85,-8510,-23590,250,180)
set(86,-8510,-27590,250,0)
set(85,-6510,-23590,250,180)
set(84,-6510,-27590,250,0)
set(86,-4510,-23590,250,180)
set(85,-4510,-27590,250,0)


//nodes


node(0,250,27727)r
node(5890,250,14732)r
node(-3324,250,39011)r
node(0,250,48324)r
node(4490,250,55070)r
node(18550,250,55070)r
node(25930,250,47481)r
node(28970,250,25021)r
node(28970,250,16810)r
node(26992,250,14782)r
node(24090,250,14810)r
node(-15360,250,14732)r
node(-28785,250,14810)r
node(-31060,250,13060)r
node(-31060,250,-7840)r
node(-29310,250,-8962)r
node(-25432,250,-3424)r
node(-23710,250,-1990)r
node(0,250,-3070)r
node(4852,250,-3486)r
node(4852,250,-9784)r
node(7016,250,-10408)r
node(20282,250,-10288)r
node(23714,250,-9976)r
node(24338,250,-6154)r
node(24338,250,-3076)r
node(25668,250,-1750)r
node(32732,250,-1828)r
node(36398,250,-3232)r
node(39902,250,-3302)r
node(43690,250,-3224)r
node(43958,250,-12506)r
node(43958,250,-30282)r
node(43958,250,-38828)r
node(42290,250,-39998)r
node(25194,250,-39998)r
node(11138,250,-40154)r
node(4852,250,-39998)r
node(1834,250,-38204)r
node(-6510,250,-34772)r
node(-11910,250,-34690)r
node(-19794,250,-34089)r
node(-21060,250,-29346)r
node(-19794,250,-25989)r
node(-17900,250,-25590)r
node(-3324,250,-25679)r
node(-760,250,-27340)r
node(2128,250,-29089)r
node(13559,250,-29058)r
node(32140,250,-29090)r
node(34940,250,-27039)r
node(34484,250,-20233)r
node(25930,250,-20047)r
node(14039,250,-20047)r
node(8100,250,-19990)r
node(6350,250,-18240)r
node(6350,250,-5380)r
node(3526,250,-4550)r
node(3526,250,-2082)r



maxl(22,-34314,-42972)
maxb(18,-45372,-31914)
maxr(22,52086,-42972)
maxt(18,60227,-31914)
