snap(-29,-31,-12)
sky(201,191,255)
fog(232,174,174)
clouds(255,255,255,0,-1500)
ground(209,157,157)
texture(0,0,0,20)
fadefrom(5000)
density(5)
mountains(2366)
nlaps(4)
lightson()

name(Suburban Suicide)

//roads segment 1
set(71,0,0,250,0)p
set(71,0,5600,250,0)
set(71,0,11200,250,0)
set(71,0,16800,250,0)
set(73,6,23200,250,0)
set(65,0,29600,1250,0)p
set(125,0,35200,250,0)p
chk(40,0,38000,250,0)
set(95,0,40800,250,0)p
set(96,0,45700,250,0)pt
set(95,4900,45700,250,90)p
chk(40,9000,45700,250,90)
set(95,10500,45700,250,90)p
set(47,15400,45700,250,0)pr

set(97,15400,51300,250,0)
set(97,15400,40100,250,0)
set(97,15400,34500,250,0)
set(138,15400,28900,250,180)
set(97,21000,28900,250,90)
set(97,26600,28900,250,90)
set(97,32200,28900,250,90)
set(97,37800,28900,250,90)
set(97,43400,28900,250,90)
set(97,49000,28900,250,90)
set(97,54600,28900,250,90)
set(138,60200,28900,250,0)
set(97,60200,23300,250,0)
set(97,60200,17700,250,0)
set(97,60200,12100,250,0)
set(137,60200,6500,250,180)

//road segment 2

set(10,20300,45700,250,90)p
set(10,25900,45700,250,90)
set(10,31500,45700,250,90)
set(10,37100,45700,250,90)
chk(40,38600,45700,250,90)
set(14,41500,45700,250,-90)pt
set(43,41500,41200,250,0)p
set(14,41500,36700,250,90)pt
set(10,46000,36700,250,90)p
set(10,51600,36700,250,90)p
set(10,57200,36700,250,90)p
set(14,61700,36700,250,180)pt
set(10,61700,41200,250,0)p
set(43,61700,45700,250,-90)pt
chk(40,66000,45700,250,90)
set(43,67300,45700,250,-90)p


//roads segment 3

set(14,71800,45700,250,-90)p
set(10,71800,41200,250,0)p
set(10,71800,35600,250,0)p
set(10,71800,30000,250,0)p
chk(40,71800,29000,250,0)
set(12,70280,24370,250,-30)pt
set(43,68760,18740,250,0)p
set(13,70280,13110,250,30)pt
set(44,71800,7480,250,0)p
set(128,71800,1880,250,180)p
set(115,71800,-3720,-750,0)p
set(120,71800,-9320,-750,180)pt
set(115,66200,-9320,-750,90)p
set(115,60600,-9320,-750,90)p
set(119,55000,-9320,-750,180)pt
set(114,55000,-3720,-750,0)p
set(120,55000,1880,-2350,-90)pt
set(115,49400,1880,-2350,90)p
set(115,43800,1880,-2350,90)p
set(120,38200,1880,-2350,0)pt
set(114,38200,-3720,-750,0)p
set(119,38200,-9320,-750,90)pt

//Roads segment 4

set(135,38200,-14920,-750,180)p
set(65,38200,-20520,250,0)p
set(66,38200,-24720,-750,-90)pt
set(122,34000,-24720,250,-90)p
set(65,28400,-24720,1250,90)
set(65,22800,-24720,1250,90)p
set(73,16400,-24720,250,-90)
set(71,10000,-24720,250,90)p
set(71,4400,-24720,250,90)p
set(72,0,-24720,250,180)pt
set(71,0,-20320,250,180)p
set(71,0,-16800,250,180)p
set(71,0,-11200,250,0)p
set(71,0,-5600,250,0)p

//scenery roads

set(23,44300,41200,250,90)
set(23,58900,45700,250,-90)
set(10,67300,40100,250,0)
set(31,67300,37300,250,180)

set(121,43800,-9320,-750,-90)
set(121,49400,-9320,-750,90)

//scenery section 1

set(91,-4500,0,250,90)
set(90,-4500,5600,250,90)
set(89,-4500,11200,250,90)
set(91,-4500,16800,250,90)
set(90,4500,0,250,-90)
set(89,4500,5600,250,-90)
set(91,4500,11200,250,-90)
set(90,4500,16800,250,-90)

set(102,5600,2800,250,90)
