snap(10,4,-26)
sky(191,217,255)
fog(172,200,229)
clouds(255,255,255,5,-1500)
ground(186,191,179)
texture(54,179,109,31)
fadefrom(5000)
density(5)
mountains(92876)

nlaps(3)
name(The Evil Clown)

set(48,0,0,250,0)p
set(15,0,5600,250,0)
chk(42,0,6100,250,0)
set(15,0,11200,250,0)
set(15,0,16800,250,0)
set(15,0,22400,250,0)p
set(16,0,28000,250,0)p
set(15,0,33600,250,0)
set(17,0,38150,250,-90)pt
set(15,-4550,38150,250,-90)
set(63,-6625,37725,250,-90)
set(63,-5200,38000,250,180)
set(63,-6250,38575,250,90)
chk(42,-3275,38150,250,90)
set(16,-10150,38150,250,-90)
set(15,-15750,38150,250,-90)p
set(15,-21350,38150,250,-90)
fix(41,-27275,38150,-1000,90)
set(15,-26950,38150,250,-90)
set(15,-32550,38150,250,90)p
set(63,-30850,38350,250,90)
set(63,-33150,37925,250,-90)
set(62,-32050,38450,250,0)
set(63,-34025,38475,250,0)
set(17,-37100,38150,250,0)pt
set(62,-36475,37400,250,-90)
set(62,-34900,37925,250,90)
set(63,-35875,38350,250,90)
set(44,-37100,33600,250,0)
chk(42,-37100,32950,250,0)
set(43,-37100,28000,250,0)p
set(43,-37100,22400,250,180)
set(43,-37100,16800,250,0)
set(34,-37100,20692,250,0)pr
set(43,-37100,11200,250,0)
set(43,-37100,5600,250,180)
set(35,-36802,6758,250,180)
set(35,-37411,8753,250,0)pr
set(44,-37100,0,250,180)p
set(17,-37100,-4550,250,90)
chk(42,-37100,-2800,250,0)
set(15,-32550,-4550,250,90)
set(15,-26950,-4550,250,90)
set(53,-29750,-4550,250,90)pr
set(15,-21350,-4550,250,90)p
set(16,-15750,-4550,250,-90)p
set(15,-10150,-4550,250,-90)
chk(42,-9644,-4550,250,90)
set(17,-5600,-4550,250,180)pt
set(15,-5600,0,250,0)
set(33,-5600,-1000,250,0)
set(33,-5600,1500,250,180)pr
set(15,-5600,5600,250,0)
set(33,-5600,6325,250,180)
set(33,-5600,3800,250,0)pr
set(15,-5600,11200,250,0)
set(55,0,11750,250,180)pr
set(33,-5600,8850,250,0)pr
set(15,-5600,16800,250,0)p
set(15,-5600,22400,250,180)p
set(24,-5600,25200,250,0)p
set(15,-5600,31875,250,180)
set(24,-5600,34675,250,0)
set(55,-5600,34200,250,0)pr
set(10,-5600,45301,250,0)
set(23,-5600,42501,250,0)
chk(64,-5600,42451,0,-2626)
set(58,-5600,41225,250,0)pr
set(10,-5600,50901,250,180)p
set(37,-5400,48900,250,-90)
set(37,-5600,50375,250,180)
set(37,-5750,51775,250,-90)
set(10,-5600,56501,250,180)p
set(14,-5600,61051,250,-90)pt
set(10,-10150,61051,250,-90)
chk(40,-12950,61051,250,90)
set(10,-15750,61051,250,-90)p
set(14,-20300,61051,250,0)pt
set(10,-20300,56501,250,0)
set(10,-20300,50901,250,0)
set(49,-21000,55101,250,0)
set(49,-21000,52301,250,0)ph
set(10,-20300,45301,250,0)p
set(49,-21000,49501,250,0)
set(49,-21000,46701,250,0)
set(23,-20300,42501,250,0)
set(23,-20300,33832,250,180)
set(53,-22350,38150,250,90)pr
set(10,-20300,31032,250,0)p
