snap(15,-4,-21)
sky(187,195,227)
fog(204,186,176)
clouds(255,228,228,3,-1437)
ground(192,176,152)
texture(255,71,0,31)
fadefrom(6200)
density(4)
mountains(83589)

nlaps(4)

name(Quake Ownage)

set(47,0,0,250,0)p
set(10,0,5600,250,0)p
set(10,0,11200,250,0)
set(54,700,9875,250,0)
set(54,-700,8783,250,0)
set(54,-700,9884,250,0)
set(10,0,16800,250,0)
set(54,-700,15781,250,0)
set(54,700,15787,250,0)
set(54,-700,14703,250,0)
set(10,0,22400,250,0)
set(10,0,28000,250,0)
set(10,0,33600,250,0)
set(54,-700,35175,250,0)
set(54,-700,34000,250,0)
chk(40,0,36400,250,0)
set(10,0,39200,250,0)p
set(14,0,43750,250,0)pt
set(22,2310,43750,250,90)p
set(54,1900,44450,250,90)
set(22,3430,43750,250,90)p
set(54,3175,44450,250,90)
set(18,6790,43750,250,90)
set(36,8025,45560,250,0)ph
set(18,12390,43750,250,90)
set(36,9985,45560,250,0)
set(36,11945,45560,250,0)ph
set(18,17990,43750,250,90)p
set(22,21350,43750,250,-90)p
set(54,20392,44450,250,90)
set(14,23660,43750,250,-90)
set(54,21652,44450,250,90)
chk(40,23660,42000,250,0)
set(14,23660,40250,250,180)pt
set(10,19110,40250,250,-90)p
set(10,13510,40250,250,-90)p
set(10,7910,40250,250,-90)p
set(14,3360,40250,250,0)pt
set(10,3360,35700,250,0)
set(54,4060,38297,250,0)
set(54,4060,37197,250,0)
set(54,700,34050,250,0)
set(54,700,35200,250,0)
set(54,2660,37197,250,0)
set(54,2660,38286,250,0)
chk(40,3360,36425,250,0)
set(10,3360,30100,250,0)
set(54,4060,30495,250,0)
set(54,4060,29233,250,0)
set(54,4060,28001,250,0)
set(54,2660,28001,250,0)
set(54,2660,29233,250,0)
set(54,2660,30495,250,0)
set(10,3360,24500,250,0)
set(50,3360,25525,250,180)pr
set(10,3360,18900,250,0)
set(52,350,17808,250,0)pr
set(10,3360,13300,250,0)
set(52,-350,12165,250,0)pr
set(54,700,14706,250,0)
set(10,3360,7700,250,180)p
set(54,700,8783,250,0)
set(10,3360,2100,250,180)
set(54,4060,4385,250,180)
set(54,4060,3230,250,180)
set(54,2660,3230,250,180)
set(54,2660,4385,250,180)
chk(40,3360,2350,250,0)
set(14,3360,-2450,250,90)pt
set(20,7910,-2450,250,90)p
set(15,13510,-2450,250,90)p
set(16,19110,-2450,250,-90)
set(15,24710,-2450,250,-90)
set(15,30310,-2450,250,-90)
set(16,35910,-2450,250,-90)
set(15,41510,-2450,250,-90)p
set(20,47110,-2450,250,-90)p
set(14,51660,-2450,250,180)
chk(40,49910,-2450,250,90)
set(10,51660,2100,250,180)p
set(10,51660,7700,250,180)
set(10,51660,13300,250,180)
set(10,51660,18900,250,180)p
set(10,51660,24500,250,180)p
set(10,51660,30100,250,180)
set(10,51660,35700,250,180)
set(54,50960,36440,250,180)
set(54,52360,36450,250,180)
set(54,50960,35425,250,180)
chk(40,51660,37222,250,0)
set(14,51660,40250,250,-90)pt
set(22,49350,40250,250,-90)p
set(18,45990,40250,250,-90)
set(54,48385,40950,250,90)
set(18,40390,40250,250,-90)
set(36,41743,38440,250,180)
set(36,43703,38440,250,180)ph
set(36,39783,38440,250,180)ph
set(18,34790,40250,250,-90)p
set(22,31430,40250,250,90)p
set(54,31990,39550,250,90)
set(14,29120,40250,250,90)
set(54,30870,39550,250,90)
chk(40,29120,42000,250,0)
set(14,29120,43750,250,0)pt
set(10,33670,43750,250,-90)p
set(10,39270,43750,250,-90)p
set(10,44870,43750,250,-90)p
set(10,50470,43750,250,-90)p
set(54,49660,40950,250,90)
set(14,55020,43750,250,-90)pt
set(10,55020,39200,250,180)
set(54,54320,39096,250,0)
set(54,54320,37968,250,0)
set(54,55720,37968,250,0)
set(54,55720,39096,250,0)
chk(40,55020,37175,250,0)
set(10,55020,33600,250,180)
set(54,55720,34944,250,0)
set(54,54320,36048,250,0)
set(54,54320,33744,250,0)
set(54,52360,35424,250,180)
set(54,54320,34920,250,0)
set(54,55720,33756,250,0)
set(54,55720,36076,250,0)
fix(41,55020,25200,-7000,0)
set(10,55020,28000,250,180)
set(50,55020,31400,250,180)pr
fix(41,55020,21202,-8000,0)
set(10,55020,22400,250,180)p
set(10,55020,16800,250,180)p
set(51,51660,19275,250,180)
set(10,55020,11200,250,180)
set(29,51660,11900,250,180)pr
set(10,55020,5600,250,180)p
