snap(-33,-40,0)
sky(193,203,220)
fog(203,190,188)
clouds(194,236,255,2,-1500)
ground(191,186,186)
texture(226,26,26,47)
fadefrom(5000)
density(5)
mountains(37382)
nlaps(3)
lightson()

name(Space Walk)

set(48,0,0,250,0)p
set(15,0,5600,250,0)
set(35,0,6225,250,0)pr
set(15,0,11200,250,0)
set(35,300,10175,250,180)pr
set(15,0,16800,250,0)
set(35,-325,13600,250,180)pr
set(15,0,22400,250,0)p
set(15,0,28000,250,180)p
set(15,0,33600,250,180)
chk(42,0,31900,250,0)
set(17,0,38150,250,0)pt
set(15,4550,38150,250,90)p
set(16,10150,38150,250,90)p
set(15,15750,38150,250,90)
set(15,21350,38150,250,90)
set(15,26950,38150,250,90)
set(55,21325,38150,250,-90)pr
set(16,32550,38150,250,-90)p
set(15,38150,38150,250,-90)p
set(15,43750,38150,250,-90)
chk(42,44500,38150,250,90)
set(17,48300,38150,250,180)pt
set(21,48300,42700,250,0)p
set(22,48300,46060,250,0)p
set(14,48300,48370,250,-90)pt
set(10,43750,48370,250,-90)
set(54,42375,49070,250,90)
set(54,42375,47670,250,90)
chk(40,45123,48370,250,90)
set(10,38150,48370,250,-90)p
set(49,38450,49070,250,-90)
set(49,38450,47670,250,90)
set(10,32550,48370,250,90)
set(49,32850,49070,250,-90)
set(49,35650,47670,250,90)
set(49,32850,47670,250,90)
set(49,35650,49070,250,-90)
set(10,26950,48370,250,90)
set(49,27250,49070,250,-90)
set(49,30050,47670,250,90)ph
set(49,27250,47670,250,90)
set(49,30050,49070,250,-90)
set(10,21350,48370,250,90)
set(49,21650,49070,250,-90)
set(49,24450,47670,250,90)
set(49,21650,47670,250,90)
set(49,24450,49070,250,-90)
set(10,15750,48370,250,90)
set(49,16050,49070,250,-90)
set(49,18850,47670,250,90)
set(49,16050,47670,250,90)
set(49,18850,49070,250,-90)ph
set(10,10150,48370,250,90)
set(49,10450,49070,250,-90)
set(49,13250,47670,250,90)ph
set(49,10450,47670,250,90)
set(49,13250,49070,250,-90)
set(10,4550,48370,250,90)p
set(49,7650,47670,250,90)
set(49,7650,49070,250,-90)
set(54,3725,49070,250,90)
set(54,3725,47670,250,90)
set(22,1190,48370,250,-90)p
set(22,70,48370,250,90)p
set(10,-3290,48370,250,90)p
set(54,-490,47670,250,90)
set(54,-490,49070,250,90)
set(10,-8890,48370,250,90)p
set(49,-7490,47670,250,90)
set(49,-7490,49070,250,-90)
set(49,-4690,47670,250,90)
set(49,-4690,49070,250,-90)
set(10,-14490,48370,250,90)
set(49,-13090,47670,250,90)
set(49,-13090,49070,250,-90)
set(49,-10290,49070,250,-90)
set(49,-10290,47670,250,90)
set(10,-20090,48370,250,90)
set(49,-18690,47670,250,90)
set(49,-18690,49070,250,-90)
set(49,-15890,49070,250,-90)
set(49,-15890,47670,250,90)ph
set(10,-25690,48370,250,90)
set(49,-24290,49070,250,-90)
set(49,-21490,49070,250,-90)
set(49,-21490,47670,250,90)
chk(40,-25690,48370,250,90)
set(10,-31290,48370,250,90)
set(49,-29890,47670,250,90)
set(49,-29890,49070,250,-90)
set(49,-27090,49070,250,-90)
set(14,-35840,48370,250,90)pt
set(49,-32690,49070,250,-90)
set(49,-32690,47670,250,90)
set(10,-35840,52920,250,0)
set(49,-35140,51520,250,180)
set(49,-36540,51520,250,0)
set(49,-36540,48720,250,0)ph
set(10,-35840,58520,250,0)
set(49,-36540,54320,250,0)ph
set(49,-35140,57120,250,180)
set(49,-35140,54320,250,180)
